medico_key,ci,nombre,matricula,sexo,especialidad,zona,ciudad,grupo_origen
2330,G1-PER-16034,Luis González,G1-MAT-16034,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2331,G1-PER-16035,María González,G1-MAT-16035,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2332,G1-PER-16040,Lucía Torrez,G1-MAT-16040,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2333,G1-PER-16042,Lucía Flores,G1-MAT-16042,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2334,G1-PER-16045,Valeria Sánchez,G1-MAT-16045,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2335,G1-PER-16049,José Sánchez,G1-MAT-16049,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2336,G1-PER-16050,Carlos Flores,G1-MAT-16050,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2337,G1-PER-16051,Juan Torrez,G1-MAT-16051,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2338,G1-PER-16057,Juan Rodríguez,G1-MAT-16057,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2339,G1-PER-16063,María Vargas,G1-MAT-16063,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2340,G1-PER-16064,Luis Flores,G1-MAT-16064,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2341,G1-PER-16065,Pedro López,G1-MAT-16065,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2342,G1-PER-16067,Carlos Torrez,G1-MAT-16067,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2343,G1-PER-16076,Lucía Mamani,G1-MAT-16076,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2344,G1-PER-16083,María Flores,G1-MAT-16083,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2345,G1-PER-16089,Lucía López,G1-MAT-16089,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2346,G1-PER-16093,Luis Flores,G1-MAT-16093,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2347,G1-PER-16094,Luis Vargas,G1-MAT-16094,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2348,G1-PER-16095,Pedro Torrez,G1-MAT-16095,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2349,G1-PER-16096,Valeria Mamani,G1-MAT-16096,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2350,G1-PER-161,Luis Flores,G1-MAT-161,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2351,G1-PER-16102,José Torrez,G1-MAT-16102,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2352,G1-PER-16116,Valeria Mamani,G1-MAT-16116,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2353,G1-PER-16117,María López,G1-MAT-16117,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2354,G1-PER-16120,Lucía Rojas,G1-MAT-16120,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2355,G1-PER-16122,Juan Rodríguez,G1-MAT-16122,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2356,G1-PER-1613,Pedro Torrez,G1-MAT-1613,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2357,G1-PER-16132,Pedro López,G1-MAT-16132,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2358,G1-PER-16133,José González,G1-MAT-16133,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2359,G1-PER-16134,Lucía Rodríguez,G1-MAT-16134,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2360,G1-PER-16138,Juan Torrez,G1-MAT-16138,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2361,G1-PER-16140,Carmen González,G1-MAT-16140,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2362,G1-PER-16145,Pedro González,G1-MAT-16145,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2363,G1-PER-16153,Valeria González,G1-MAT-16153,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2364,G1-PER-16156,María Vargas,G1-MAT-16156,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2365,G1-PER-16157,Carlos Sánchez,G1-MAT-16157,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2366,G1-PER-16162,José Rodríguez,G1-MAT-16162,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2367,G1-PER-16163,María Rodríguez,G1-MAT-16163,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2368,G1-PER-16165,María Rojas,G1-MAT-16165,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2369,G1-PER-16170,José Sánchez,G1-MAT-16170,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2370,G1-PER-16171,Juan Martínez,G1-MAT-16171,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2371,G1-PER-16173,Ana Sánchez,G1-MAT-16173,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2372,G1-PER-16174,Ana Martínez,G1-MAT-16174,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2373,G1-PER-16187,Luis Flores,G1-MAT-16187,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2374,G1-PER-1619,José Martínez,G1-MAT-1619,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2375,G1-PER-16191,Juan Sánchez,G1-MAT-16191,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2376,G1-PER-16193,Valeria Torrez,G1-MAT-16193,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2377,G1-PER-16194,Luis Rodríguez,G1-MAT-16194,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2378,G1-PER-162,Carmen Martínez,G1-MAT-162,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2379,G1-PER-16201,Lucía Rodríguez,G1-MAT-16201,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2380,G1-PER-16203,Valeria Vargas,G1-MAT-16203,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2381,G1-PER-16208,María Sánchez,G1-MAT-16208,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2382,G1-PER-16209,María Torrez,G1-MAT-16209,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2383,G1-PER-16210,Carlos Sánchez,G1-MAT-16210,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2384,G1-PER-16211,Carmen Rodríguez,G1-MAT-16211,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2385,G1-PER-16217,Pedro Torrez,G1-MAT-16217,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2386,G1-PER-16218,Luis Vargas,G1-MAT-16218,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2387,G1-PER-16231,Lucía Rojas,G1-MAT-16231,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2388,G1-PER-16234,María Flores,G1-MAT-16234,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2389,G1-PER-16258,José Torrez,G1-MAT-16258,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2390,G1-PER-16263,Juan Rodríguez,G1-MAT-16263,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2391,G1-PER-16268,Ana López,G1-MAT-16268,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2392,G1-PER-16271,Lucía Martínez,G1-MAT-16271,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2393,G1-PER-16275,Valeria Flores,G1-MAT-16275,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2394,G1-PER-16276,María Martínez,G1-MAT-16276,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2395,G1-PER-16280,Juan Sánchez,G1-MAT-16280,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2396,G1-PER-16289,Lucía Martínez,G1-MAT-16289,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2397,G1-PER-16292,Valeria Torrez,G1-MAT-16292,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2398,G1-PER-16294,Carlos Rojas,G1-MAT-16294,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2399,G1-PER-163,Valeria González,,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2400,G1-PER-16304,María Mamani,G1-MAT-16304,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2401,G1-PER-16305,María González,G1-MAT-16305,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2402,G1-PER-16308,Carmen Torrez,G1-MAT-16308,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2403,G1-PER-16309,José Vargas,G1-MAT-16309,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2404,G1-PER-16310,María Vargas,G1-MAT-16310,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2405,G1-PER-16313,Valeria López,G1-MAT-16313,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2406,G1-PER-16314,Valeria López,G1-MAT-16314,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2407,G1-PER-16315,Lucía Torrez,G1-MAT-16315,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2408,G1-PER-16317,Carlos Rojas,G1-MAT-16317,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2409,G1-PER-16319,Juan González,G1-MAT-16319,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2410,G1-PER-16323,José López,G1-MAT-16323,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2411,G1-PER-16325,María Sánchez,G1-MAT-16325,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2412,G1-PER-16326,Luis González,G1-MAT-16326,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2413,G1-PER-16328,Carlos Rodríguez,G1-MAT-16328,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2414,G1-PER-16329,Ana Sánchez,G1-MAT-16329,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2415,G1-PER-16335,Juan González,G1-MAT-16335,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2416,G1-PER-16336,Carlos López,G1-MAT-16336,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2417,G1-PER-16338,Pedro Rodríguez,G1-MAT-16338,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2418,G1-PER-16342,Ana Vargas,G1-MAT-16342,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2419,G1-PER-16345,Juan Rodríguez,G1-MAT-16345,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2420,G1-PER-16350,María Sánchez,G1-MAT-16350,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2421,G1-PER-16351,Carlos Vargas,G1-MAT-16351,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2422,G1-PER-16352,Ana Vargas,G1-MAT-16352,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2423,G1-PER-16355,Lucía Rojas,G1-MAT-16355,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2424,G1-PER-16357,Lucía Rodríguez,G1-MAT-16357,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2425,G1-PER-16360,Pedro González,G1-MAT-16360,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2426,G1-PER-16361,José Mamani,G1-MAT-16361,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2427,G1-PER-16369,Lucía Martínez,G1-MAT-16369,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2428,G1-PER-1637,Lucía Torrez,G1-MAT-1637,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2429,G1-PER-16374,Ana Vargas,G1-MAT-16374,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2430,G1-PER-16378,Carmen Torrez,G1-MAT-16378,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2431,G1-PER-16380,Valeria Flores,G1-MAT-16380,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2432,G1-PER-16382,Valeria González,G1-MAT-16382,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2433,G1-PER-16386,María Mamani,G1-MAT-16386,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2434,G1-PER-16387,Carlos González,G1-MAT-16387,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2435,G1-PER-16390,Valeria López,G1-MAT-16390,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2436,G1-PER-16391,Carmen Vargas,G1-MAT-16391,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2437,G1-PER-16395,Luis Vargas,G1-MAT-16395,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2438,G1-PER-164,Valeria Martínez,,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2439,G1-PER-16400,Pedro Flores,G1-MAT-16400,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2440,G1-PER-16410,José Flores,G1-MAT-16410,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2441,G1-PER-16413,Ana López,G1-MAT-16413,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2442,G1-PER-16414,Lucía Rodríguez,G1-MAT-16414,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2443,G1-PER-16417,Carmen Vargas,G1-MAT-16417,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2444,G1-PER-16418,María Vargas,G1-MAT-16418,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2445,G1-PER-1642,Lucía Rojas,G1-MAT-1642,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2446,G1-PER-16421,María López,G1-MAT-16421,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2447,G1-PER-16423,Carmen González,G1-MAT-16423,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2448,G1-PER-16427,Carlos López,G1-MAT-16427,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2449,G1-PER-16438,Pedro Martínez,G1-MAT-16438,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2450,G1-PER-16439,Lucía Rojas,G1-MAT-16439,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2451,G1-PER-1644,Carmen Rodríguez,G1-MAT-1644,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2452,G1-PER-16441,Valeria González,G1-MAT-16441,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2453,G1-PER-16447,José Martínez,G1-MAT-16447,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2454,G1-PER-16451,María Rodríguez,G1-MAT-16451,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2455,G1-PER-1646,Lucía Sánchez,G1-MAT-1646,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2456,G1-PER-16462,Ana Martínez,G1-MAT-16462,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2457,G1-PER-16467,Ana Sánchez,G1-MAT-16467,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2458,G1-PER-16477,María Rodríguez,G1-MAT-16477,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2459,G1-PER-1648,Carlos Rojas,G1-MAT-1648,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2460,G1-PER-16480,Ana Rojas,G1-MAT-16480,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2461,G1-PER-16486,María Sánchez,G1-MAT-16486,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2462,G1-PER-16497,José López,G1-MAT-16497,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2463,G1-PER-16499,Luis Flores,G1-MAT-16499,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2464,G1-PER-165,Luis Sánchez,,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2465,G1-PER-16506,Juan Torrez,G1-MAT-16506,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2466,G1-PER-16518,Lucía Rojas,G1-MAT-16518,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2467,G1-PER-16519,Juan Flores,G1-MAT-16519,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2468,G1-PER-1652,María Rojas,G1-MAT-1652,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2469,G1-PER-16530,Pedro Flores,G1-MAT-16530,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2470,G1-PER-16531,Juan González,G1-MAT-16531,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2471,G1-PER-16534,Juan Sánchez,G1-MAT-16534,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2472,G1-PER-16543,Juan Torrez,G1-MAT-16543,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2473,G1-PER-16549,Juan Flores,G1-MAT-16549,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2474,G1-PER-16554,Ana López,G1-MAT-16554,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2475,G1-PER-16561,Carmen Vargas,G1-MAT-16561,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2476,G1-PER-16566,José Mamani,G1-MAT-16566,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2477,G1-PER-16568,Valeria Rojas,G1-MAT-16568,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2478,G1-PER-16571,Carmen Mamani,G1-MAT-16571,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2479,G1-PER-16574,Carlos Sánchez,G1-MAT-16574,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2480,G1-PER-16576,María Rojas,G1-MAT-16576,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2481,G1-PER-16578,Valeria Rojas,G1-MAT-16578,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2482,G1-PER-16580,María Martínez,G1-MAT-16580,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2483,G1-PER-16581,Carlos Flores,G1-MAT-16581,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2484,G1-PER-16583,Luis Mamani,G1-MAT-16583,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2485,G1-PER-16584,Valeria González,G1-MAT-16584,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2486,G1-PER-16586,Juan Rojas,G1-MAT-16586,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2487,G1-PER-16593,Juan Sánchez,G1-MAT-16593,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2488,G1-PER-16595,Ana López,G1-MAT-16595,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2489,G1-PER-16597,Carlos Flores,G1-MAT-16597,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2490,G1-PER-166,Ana Vargas,,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2491,G1-PER-16601,Lucía López,G1-MAT-16601,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2492,G1-PER-16607,Ana Rojas,G1-MAT-16607,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2493,G1-PER-16608,Carlos Torrez,G1-MAT-16608,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2494,G1-PER-16610,María González,G1-MAT-16610,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2495,G1-PER-16613,Juan Flores,G1-MAT-16613,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2496,G1-PER-16615,Carlos Flores,G1-MAT-16615,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2497,G1-PER-16616,Carmen Torrez,G1-MAT-16616,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2498,G1-PER-16621,Pedro López,G1-MAT-16621,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2499,G1-PER-16626,José González,G1-MAT-16626,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2500,G1-PER-16631,Carmen Flores,G1-MAT-16631,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2501,G1-PER-16632,Pedro López,G1-MAT-16632,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2502,G1-PER-16636,Pedro Flores,G1-MAT-16636,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2503,G1-PER-16638,Carmen Sánchez,G1-MAT-16638,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2504,G1-PER-16639,José Martínez,G1-MAT-16639,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2505,G1-PER-1664,Ana Torrez,G1-MAT-1664,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2506,G1-PER-16640,Carmen Vargas,G1-MAT-16640,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2507,G1-PER-16644,Lucía López,G1-MAT-16644,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2508,G1-PER-16646,José Sánchez,G1-MAT-16646,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2509,G1-PER-1665,Valeria Rojas,G1-MAT-1665,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2510,G1-PER-16650,José Vargas,G1-MAT-16650,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2511,G1-PER-16666,Carlos Mamani,G1-MAT-16666,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2512,G1-PER-16668,Carlos Martínez,G1-MAT-16668,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2513,G1-PER-16670,Lucía Torrez,G1-MAT-16670,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2514,G1-PER-16671,Valeria Torrez,G1-MAT-16671,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2515,G1-PER-16674,Carlos Martínez,G1-MAT-16674,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2516,G1-PER-16675,José Rodríguez,G1-MAT-16675,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2517,G1-PER-16677,Luis Rojas,G1-MAT-16677,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2518,G1-PER-1668,Carmen Torrez,G1-MAT-1668,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2519,G1-PER-16682,Luis Martínez,G1-MAT-16682,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2520,G1-PER-16688,Carmen Vargas,G1-MAT-16688,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2521,G1-PER-16690,Lucía Rojas,G1-MAT-16690,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2522,G1-PER-16693,José Mamani,G1-MAT-16693,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2523,G1-PER-167,José Mamani,,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2524,G1-PER-16703,Juan Rojas,G1-MAT-16703,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2525,G1-PER-1671,María Mamani,G1-MAT-1671,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2526,G1-PER-16711,María Flores,G1-MAT-16711,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2527,G1-PER-16718,Carmen Sánchez,G1-MAT-16718,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2528,G1-PER-16720,Juan Sánchez,G1-MAT-16720,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2529,G1-PER-16721,María Rojas,G1-MAT-16721,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2530,G1-PER-16724,Pedro Rojas,G1-MAT-16724,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2531,G1-PER-16727,María López,G1-MAT-16727,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2532,G1-PER-1673,Valeria Rodríguez,G1-MAT-1673,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2533,G1-PER-16736,Lucía Torrez,G1-MAT-16736,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2534,G1-PER-16742,Pedro Martínez,G1-MAT-16742,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2535,G1-PER-16745,Ana Torrez,G1-MAT-16745,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2536,G1-PER-16749,Juan Martínez,G1-MAT-16749,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2537,G1-PER-16756,Ana Mamani,G1-MAT-16756,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2538,G1-PER-1677,María Martínez,G1-MAT-1677,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2539,G1-PER-1678,Valeria Rodríguez,G1-MAT-1678,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2540,G1-PER-16783,Juan Vargas,G1-MAT-16783,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2541,G1-PER-16785,Valeria Vargas,G1-MAT-16785,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2542,G1-PER-16798,María Rojas,G1-MAT-16798,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2543,G1-PER-168,Carlos González,G1-MAT-168,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2544,G1-PER-16806,María Martínez,G1-MAT-16806,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2545,G1-PER-16815,Carmen López,G1-MAT-16815,X,Cardiología,Sin zona asignada,Origen: Grupo 1,G1
2546,G1-PER-16826,José Martínez,G1-MAT-16826,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2547,G1-PER-16827,María Mamani,G1-MAT-16827,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2548,G1-PER-1683,José López,G1-MAT-1683,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
2549,G1-PER-16836,Luis Martínez,G1-MAT-16836,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2550,G1-PER-1685,Valeria Sánchez,G1-MAT-1685,X,Pediatría,Sin zona asignada,Origen: Grupo 1,G1
2551,G1-PER-16854,María González,G1-MAT-16854,X,Neurología,Sin zona asignada,Origen: Grupo 1,G1
2552,G1-PER-16859,José Martínez,G1-MAT-16859,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2553,G1-PER-16860,Carmen Mamani,G1-MAT-16860,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2554,G1-PER-16864,Juan Flores,G1-MAT-16864,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2555,G1-PER-16869,María Vargas,G1-MAT-16869,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2556,G1-PER-16871,Carlos Sánchez,G1-MAT-16871,X,Dermatología,Sin zona asignada,Origen: Grupo 1,G1
2557,G1-PER-16873,Ana Martínez,G1-MAT-16873,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2558,G1-PER-16881,Valeria Vargas,G1-MAT-16881,X,Medicina General,Sin zona asignada,Origen: Grupo 1,G1
2559,G1-PER-16883,María Flores,G1-MAT-16883,X,Traumatología,Sin zona asignada,Origen: Grupo 1,G1
2560,G1-PER-16885,María Sánchez,G1-MAT-16885,X,Ginecología,Sin zona asignada,Origen: Grupo 1,G1
2561,G1-PER-1689,Carmen Rodríguez,G1-MAT-1689,X,Urología,Sin zona asignada,Origen: Grupo 1,G1
