paciente_key,sucursal_key,ci,nombre,fecha_nacimiento,sexo,direccion,telefono,zona,ciudad,grupo_origen
21082,2,G1-PAC-16582,Carlos Vargas,1972-03-08,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21083,2,G1-PAC-16583,Lucía Sánchez,2002-10-16,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21084,2,G1-PAC-16584,Luis Torrez,1979-06-26,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21085,2,G1-PAC-16585,Juan Rojas,1951-06-10,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21086,2,G1-PAC-16586,Carmen López,2014-05-26,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21087,2,G1-PAC-16587,Carlos Rojas,1961-07-05,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21088,2,G1-PAC-16588,María Martínez,1959-06-10,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21089,2,G1-PAC-16589,María Rojas,2018-04-06,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21090,2,G1-PAC-16590,Juan Vargas,1977-02-15,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21091,2,G1-PAC-16591,Carlos Rodríguez,1986-10-28,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21092,2,G1-PAC-16592,Valeria Sánchez,2012-01-07,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21093,2,G1-PAC-16593,Valeria Mamani,1993-04-15,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21094,2,G1-PAC-16594,Carlos Flores,1999-01-31,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21095,2,G1-PAC-16595,José Martínez,2015-02-05,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21096,2,G1-PAC-16596,Carmen Mamani,1950-01-27,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21097,2,G1-PAC-16597,Ana Sánchez,1997-10-11,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21098,2,G1-PAC-16598,Lucía Vargas,1970-12-27,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21099,2,G1-PAC-16599,María Flores,1999-09-30,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21100,2,G1-PAC-16600,Juan Mamani,1954-04-14,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21101,2,G1-PAC-16601,Juan Rojas,2011-02-03,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21102,2,G1-PAC-16602,Carlos Rodríguez,1968-02-11,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21103,2,G1-PAC-16603,Valeria López,1961-02-18,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21104,2,G1-PAC-16604,María Torrez,1986-09-17,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21105,2,G1-PAC-16605,Valeria Rodríguez,1976-08-06,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21106,2,G1-PAC-16606,Valeria Sánchez,1958-02-25,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21107,2,G1-PAC-16607,María Torrez,1998-01-24,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21108,2,G1-PAC-16608,Valeria Vargas,1994-02-08,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21109,2,G1-PAC-16609,Pedro Rojas,2012-05-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21110,2,G1-PAC-16610,José Sánchez,1996-02-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21111,2,G1-PAC-16611,Ana Vargas,1959-07-27,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21112,2,G1-PAC-16612,Lucía Mamani,2005-07-21,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21113,2,G1-PAC-16613,Carmen Martínez,1956-10-29,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21114,2,G1-PAC-16614,Ana Vargas,1960-12-25,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21115,2,G1-PAC-16615,Carlos Flores,1975-08-04,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21116,2,G1-PAC-16616,Lucía Torrez,2012-08-28,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21117,2,G1-PAC-16617,Carmen Torrez,2017-03-22,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21118,2,G1-PAC-16618,Ana Sánchez,1974-05-19,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21119,2,G1-PAC-16619,Juan Torrez,2008-01-06,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21120,2,G1-PAC-16620,Lucía Rodríguez,1983-10-26,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21121,2,G1-PAC-16621,Pedro Flores,1987-10-29,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21122,2,G1-PAC-16622,María López,1950-05-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21123,2,G1-PAC-16623,Carmen Sánchez,1956-08-18,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21124,2,G1-PAC-16624,Lucía Martínez,2009-04-18,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21125,2,G1-PAC-16625,María Martínez,1971-04-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21126,2,G1-PAC-16626,Lucía Mamani,1950-07-23,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21127,2,G1-PAC-16627,Ana González,2014-11-30,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21128,2,G1-PAC-16628,María Flores,2003-10-21,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21129,2,G1-PAC-16629,Carmen Torrez,2008-09-19,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21130,2,G1-PAC-16630,Carmen Martínez,1967-04-05,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21131,2,G1-PAC-16631,Juan Rojas,1982-07-15,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21132,2,G1-PAC-16632,Lucía Martínez,2006-02-11,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21133,2,G1-PAC-16633,Carmen Vargas,2007-11-27,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21134,2,G1-PAC-16634,María Torrez,1959-11-26,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21135,2,G1-PAC-16635,Ana Sánchez,1956-09-18,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21136,2,G1-PAC-16636,María Flores,1993-01-19,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21137,2,G1-PAC-16637,Valeria Martínez,1981-08-12,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21138,2,G1-PAC-16638,Luis Sánchez,1989-09-24,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21139,2,G1-PAC-16639,Carlos Vargas,1982-09-20,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21140,2,G1-PAC-16640,Valeria Vargas,1973-09-29,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21141,2,G1-PAC-16641,Carlos Martínez,1999-02-14,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21142,2,G1-PAC-16642,Pedro González,2006-05-17,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21143,2,G1-PAC-16643,Carlos Vargas,2000-05-21,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21144,2,G1-PAC-16644,María Rojas,1978-02-28,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21145,2,G1-PAC-16645,Juan Vargas,1979-10-22,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21146,2,G1-PAC-16646,José Vargas,1994-12-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21147,2,G1-PAC-16647,Carlos Mamani,2010-11-03,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21148,2,G1-PAC-16648,Carmen Martínez,1950-05-10,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21149,2,G1-PAC-16649,Ana González,2001-04-01,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21150,2,G1-PAC-16650,Valeria Vargas,1968-01-11,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21151,2,G1-PAC-16651,Carlos López,1992-01-29,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21152,2,G1-PAC-16652,Carlos Flores,1993-05-30,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21153,2,G1-PAC-16653,Juan Martínez,2012-09-16,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21154,2,G1-PAC-16654,Pedro Sánchez,2014-02-19,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21155,2,G1-PAC-16655,Valeria Rodríguez,1992-02-18,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21156,2,G1-PAC-16656,Luis Martínez,1962-12-25,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21157,2,G1-PAC-16657,Juan González,1980-06-30,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21158,2,G1-PAC-16658,Juan Rojas,1971-12-19,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21159,2,G1-PAC-16659,Carmen López,2010-07-10,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21160,2,G1-PAC-16660,Juan Torrez,1975-01-14,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21161,2,G1-PAC-16661,Carlos Martínez,1968-06-23,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21162,2,G1-PAC-16662,Carmen Flores,1956-10-25,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21163,2,G1-PAC-16663,Lucía Martínez,1981-08-10,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21164,2,G1-PAC-16664,José Martínez,1961-05-10,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21165,2,G1-PAC-16665,Ana Flores,2016-03-11,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21166,2,G1-PAC-16666,Carmen Torrez,1986-07-29,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21167,2,G1-PAC-16667,Juan Mamani,2013-02-07,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21168,2,G1-PAC-16668,María Sánchez,1961-09-30,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21169,2,G1-PAC-16669,María Martínez,2005-07-08,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21170,2,G1-PAC-16670,Pedro Rojas,1987-07-28,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21171,2,G1-PAC-16671,José Flores,2015-03-03,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21172,2,G1-PAC-16672,José López,1968-07-21,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21173,2,G1-PAC-16673,Pedro Torrez,2013-02-18,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21174,2,G1-PAC-16674,Luis López,2011-04-12,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21175,2,G1-PAC-16675,Luis Mamani,2005-09-29,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21176,2,G1-PAC-16676,María Rodríguez,1988-10-12,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21177,2,G1-PAC-16677,Pedro Sánchez,1967-07-03,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21178,2,G1-PAC-16678,Lucía Torrez,1961-05-06,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21179,2,G1-PAC-16679,María González,2006-12-31,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21180,2,G1-PAC-16680,Luis González,1991-01-30,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21181,2,G1-PAC-16681,Ana Rojas,1981-11-01,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21182,2,G1-PAC-16682,Valeria Mamani,2011-12-28,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21183,2,G1-PAC-16683,Ana Rojas,2001-03-30,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21184,2,G1-PAC-16684,José Rodríguez,1968-05-03,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21185,2,G1-PAC-16685,María Mamani,2014-07-20,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21186,2,G1-PAC-16686,María López,2005-08-02,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21187,2,G1-PAC-16687,Juan López,1977-06-29,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21188,2,G1-PAC-16688,Carlos Sánchez,1987-02-26,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21189,2,G1-PAC-16689,Luis Mamani,2006-02-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21190,2,G1-PAC-16690,Valeria Sánchez,1976-11-06,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21191,2,G1-PAC-16691,Juan Rodríguez,1968-08-27,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21192,2,G1-PAC-16692,Pedro González,1983-07-23,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21193,2,G1-PAC-16693,Pedro Rodríguez,1987-01-03,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21194,2,G1-PAC-16694,Luis Rodríguez,2009-02-22,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21195,2,G1-PAC-16695,José Rojas,1966-01-08,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21196,2,G1-PAC-16696,Carlos Sánchez,1977-09-06,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21197,2,G1-PAC-16697,Juan Martínez,1958-10-27,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21198,2,G1-PAC-16698,Carmen González,1976-08-10,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21199,2,G1-PAC-16699,María Vargas,1963-12-20,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21200,2,G1-PAC-16700,Ana Rojas,1991-10-02,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21201,2,G1-PAC-16701,María Rojas,1991-05-21,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21202,2,G1-PAC-16702,José Rojas,1950-03-29,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21203,2,G1-PAC-16703,Juan López,2003-05-15,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21204,2,G1-PAC-16704,Carlos Flores,1971-02-19,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21205,2,G1-PAC-16705,Carmen Mamani,1972-09-29,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21206,2,G1-PAC-16706,María Rojas,1953-09-01,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21207,2,G1-PAC-16707,José Torrez,1953-03-13,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21208,2,G1-PAC-16708,Lucía González,1991-05-24,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21209,2,G1-PAC-16709,Carlos Rojas,1977-12-13,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21210,2,G1-PAC-16710,Carlos Vargas,1956-12-28,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21211,2,G1-PAC-16711,María Martínez,1980-12-11,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21212,2,G1-PAC-16712,Valeria Rodríguez,1973-12-28,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21213,2,G1-PAC-16713,Ana Flores,1993-11-08,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21214,2,G1-PAC-16714,José Rojas,1969-05-11,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21215,2,G1-PAC-16715,Pedro Flores,1973-11-19,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21216,2,G1-PAC-16716,José Torrez,1974-07-31,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21217,2,G1-PAC-16717,José Flores,1971-03-01,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21218,2,G1-PAC-16718,Pedro Sánchez,1991-04-28,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21219,2,G1-PAC-16719,Luis Mamani,2011-06-25,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21220,2,G1-PAC-16720,Carmen Mamani,2016-07-29,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21221,2,G1-PAC-16721,Juan Sánchez,1988-06-16,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21222,2,G1-PAC-16722,Carmen Mamani,1979-12-30,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21223,2,G1-PAC-16723,Luis Torrez,1994-04-13,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21224,2,G1-PAC-16724,María Flores,1982-04-28,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21225,2,G1-PAC-16725,Carmen Vargas,1960-01-24,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21226,2,G1-PAC-16726,Carlos Rojas,2003-03-03,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21227,2,G1-PAC-16727,Pedro Sánchez,2004-02-14,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21228,2,G1-PAC-16728,María Mamani,2004-10-11,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21229,2,G1-PAC-16729,Pedro Rojas,2008-04-28,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21230,2,G1-PAC-16730,Carlos Rodríguez,1960-05-23,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21231,2,G1-PAC-16731,Luis Mamani,1950-01-10,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21232,2,G1-PAC-16732,Carlos Vargas,1996-05-18,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21233,2,G1-PAC-16733,Carmen Rojas,1997-09-28,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21234,2,G1-PAC-16734,María Rojas,1993-07-02,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21235,2,G1-PAC-16735,Ana Flores,1956-10-30,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21236,2,G1-PAC-16736,Lucía González,1978-05-12,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21237,2,G1-PAC-16737,Lucía López,1982-05-24,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21238,2,G1-PAC-16738,Carlos Martínez,1965-10-24,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21239,2,G1-PAC-16739,Valeria Vargas,2013-07-29,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21240,2,G1-PAC-16740,Luis Sánchez,1963-01-30,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21241,2,G1-PAC-16741,Luis Torrez,2002-04-02,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21242,2,G1-PAC-16742,Lucía González,2008-10-26,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21243,2,G1-PAC-16743,Pedro Vargas,1961-10-05,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21244,2,G1-PAC-16744,José Rodríguez,1999-06-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21245,2,G1-PAC-16745,María Martínez,2016-12-01,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21246,2,G1-PAC-16746,Lucía Rojas,1988-11-03,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21247,2,G1-PAC-16747,Valeria Mamani,1997-02-02,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21248,2,G1-PAC-16748,José Martínez,2009-04-25,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21249,2,G1-PAC-16749,Pedro Torrez,1984-08-30,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21250,2,G1-PAC-16750,Carmen Vargas,1973-06-13,F,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21251,2,G1-PAC-16751,Valeria Mamani,1961-04-06,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21252,2,G1-PAC-16752,María López,2014-05-06,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
21253,2,G1-PAC-16753,Pedro Torrez,2014-01-06,M,Sin dato (Grupo 1),Sin dato (Grupo 1),Sin zona asignada,Origen: Grupo 1,G1
